null, null, null, null, null, null, 38.00, 8547, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 8547, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118271, null, null, null, 1, 男士内裤, 200005857, null, null, null, null, null, null, null, null, null, 50.00, 5662, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5662, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118282, null, null, null, 1, 节日庆典用品, 200005326, null, null, null, null, null, null, null, null, null, 38.00, 549, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 549, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118283, null, null, null, 1, 其他户外装备, 200005347, null, null, null, null, null, null, null, null, null, 38.00, 980, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 980, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118284, null, null, null, 1, 电池/充电器, 200005581, null, null, null, null, null, null, null, null, null, 38.00, 888, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 888, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118285, null, null, null, 1, 数码线缆/转换器, 200005557, null, null, null, null, null, null, null, null, null, 38.00, 997, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 997, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118286, null, null, null, 1, 其他棋牌麻将/工具, 200005401, null, null, null, null, null, null, null, null, null, 38.00, 9993, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 9993, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118287, null, null, null, 1, 厨卫配件, 200005449, null, null, null, null, null, null, null, null, null, 45.00, 9990, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 9990, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118288, null, null, null, 1, 厨卫配件, 200005449, null, null, null, null, null, null, null, null, null, 38.00, 9981, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 9981, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118289, null, null, null, 1, 免洗发喷雾, 200004887, null, null, null, null, null, null, null, null, null, 68.00, 6588, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6588, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118290, null, null, null, 1, 免洗发喷雾, 200004887, null, null, null, null, null, null, null, null, null, 38.00, 6680, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6680, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118291, null, null, null, 1, 化妆镜, 200004856, null, null, null, null, null, null, null, null, null, 38.00, 9999, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 9999, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118292, null, null, null, 1, 数码线缆/转换器, 200005557, null, null, null, null, null, null, null, null, null, 38.00, 99, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 99, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118293, null, null, null, 1, 机箱电源, 200005536, null, null, null, null, null, null, null, null, null, 38.00, 543, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 543, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118294, null, null, null, 1, 综合营养, 900000243, null, null, null, null, null, null, null, null, null, 38.00, 549, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 549, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118295, null, null, null, 1, 枕头枕芯, 200005451, null, null, null, null, null, null, null, null, null, 38.00, 6660, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6660, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118296, null, null, null, 1, 气垫CC/CC霜, 200004878, null, null, null, null, null, null, null, null, null, 38.00, 5878, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5878, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118297, null, null, null, 1, 笔筒, 200005271, null, null, null, null, null, null, null, null, null, 38.00, 8999, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 8999, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118298, null, null, null, 1, 仿真绿植, 200001505, null, null, null, null, null, null, null, null, null, 38.00, 886, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 886, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118299, null, null, null, 1, 其他美术画材, 200005260, null, null, null, null, null, null, null, null, null, 38.00, 6872, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6872, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118300, null, null, null, 1, 球拍/球杆, 200005355, null, null, null, null, null, null, null, null, null, 38.00, 588, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 588, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118301, null, null, null, 1, 座垫座套, 200005293, null, null, null, null, null, null, null, null, null, 38.00, 550, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 550, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 118302, null, null, null, 1, 本册, 200005212, null, null, null, null, null, null, null, null, null, 38.00, 9999, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 9999, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114551, null, null, null, 1, 使用平台信息辅助建品：选填。   不使用平台信息辅助建品：必填, 选填，
1.一级分类下存在二级分类时，必须填写二级分类。
2.一级分类与二级分类间用“,”或“>”连接。
3.多个店内分类用“;”连接，最多支持5个店内分类，写入超出五个店内分类仅会关联写入的前五个店内分类。多规格商品不同规格若关联不同店内分类，则只会取最后一行。
4.如果填写的店铺内分类不存在，则会自动新增店内分类，并把商品放入分类中，如果新增店内分类失败会默认放入“未分类”
5.不填写店铺内分类，则优先会使用平台推荐店内分类，无法推荐出来时，会将商品放在“未分类”。, null, null, null, null, null, null, null, null, null, 0.00, 0, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 必填，
0-9999（仅支持整数）
填0时，顾客端不展示。, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114552, null, null, null, 1, 请参考商品类目表填写。, , null, null, null, null, null, null, null, null, null, 0.00, 0, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, null, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114553, null, null, null, 1, 苹果, 生鲜果蔬>水果, null, null, null, null, null, null, null, null, null, 8.91, 50, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 50, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114554, null, null, null, 1, 男士西装, 男装>西装；节日专区, null, null, null, null, null, null, null, null, null, 199.00, 60, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 60, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114555, null, null, null, 1, 男士西装, 男装>西装；节日专区, null, null, null, null, null, null, null, null, null, 198.00, 70, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 70, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114556, null, null, null, 1, 碳酸饮料, 酒水饮料>碳酸饮料；低价促销>百事专区, null, null, null, null, null, null, null, null, null, 11.00, 80, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 80, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114557, null, null, null, 1, 安全防护用品, 200005423, null, null, null, null, null, null, null, null, null, 136.00, 9999, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 9999, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114558, null, null, null, 1, 猫狗窝/笼/围栏, 200002370, null, null, null, null, null, null, null, null, null, 136.00, 5555, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5555, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114559, null, null, null, 1, 菜刀, 200004989, null, null, null, null, null, null, null, null, null, 138.00, 666, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 666, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114560, null, null, null, 1, 菜刀, 200004989, null, null, null, null, null, null, null, null, null, 138.00, 558, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 558, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114561, null, null, null, 1, 桌布, 200005487, null, null, null, null, null, null, null, null, null, 138.00, 8886, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 8886, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114562, null, null, null, 1, 手机拍照配件, 200002412, null, null, null, null, null, null, null, null, null, 138.00, 888, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 888, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114563, null, null, null, 1, 节日庆典用品, 200005326, null, null, null, null, null, null, null, null, null, 138.00, 577, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 577, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114564, null, null, null, 1, 鼠标, 200005550, null, null, null, null, null, null, null, null, null, 138.00, 6988, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6988, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114565, null, null, null, 1, 护发素, 200001587, null, null, null, null, null, null, null, null, null, 138.00, 999, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 999, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114566, null, null, null, 1, 水龙头, 200005447, null, null, null, null, null, null, null, null, null, 138.00, 686, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 686, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114567, null, null, null, 1, 蓝牙/无线耳机, 200005509, null, null, null, null, null, null, null, null, null, 138.00, 9888, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 9888, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114568, null, null, null, 1, U盘, 200005554, null, null, null, null, null, null, null, null, null, 138.00, 6664, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6664, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114569, null, null, null, 1, 收纳袋/密封袋, 200005460, null, null, null, null, null, null, null, null, null, 138.00, 5550, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5550, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114570, null, null, null, 1, 其他棋牌麻将/工具, 200005401, null, null, null, null, null, null, null, null, null, 138.00, 5551, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5551, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114571, null, null, null, 1, 唇膏/口红, 200004876, null, null, null, null, null, null, null, null, null, 138.00, 5558, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5558, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114572, null, null, null, 1, 唇膏/口红, 200004876, null, null, null, null, null, null, null, null, null, 138.00, 5886, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5886, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114573, null, null, null, 1, 其他面部护理, 200004885, null, null, null, null, null, null, null, null, null, 138.00, 9999, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 9999, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114574, null, null, null, 1, 桌布, 200005487, null, null, null, null, null, null, null, null, null, 138.00, 597, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 597, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114575, null, null, null, 1, 仿真花/绢花, 200001493, null, null, null, null, null, null, null, null, null, 138.00, 558, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 558, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114576, null, null, null, 1, 仿真花/绢花, 200001493, null, null, null, null, null, null, null, null, null, 230.00, 888, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 888, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114577, null, null, null, 1, 温控器材, 400000868, null, null, null, null, null, null, null, null, null, 138.00, 555, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 555, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114578, null, null, null, 1, 厨卫配件, 200005449, null, null, null, null, null, null, null, null, null, 138.00, 6662, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 6662, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114579, null, null, null, 1, 烤箱, 200005608, null, null, null, null, null, null, null, null, null, 138.00, 362, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 362, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114580, null, null, null, 1, 拉杆箱/行李箱, 200005813, null, null, null, null, null, null, null, null, null, 138.00, 5586, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5586, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
<==        Row: 114581, null, null, null, 1, 唇膏/口红, 200004876, null, null, null, null, null, null, null, null, null, 138.00, 5588, null, null, null, null, null, null, <<BLOB>>, <<BLOB>>, null, <<BLOB>>, <<BLOB>>, <<BLOB>>, null, null, null, null, null, null, null, <<BLOB>>, null, null, null, <<BLOB>>, null, null, null, null, null, 5588, 0, null, 2026-03-03 21:16:13, 2026-03-03 21:16:13, 0
